name	kind	source_kind	layer	defined_in
git_odb_open_wstream	symbol	function_exported	2	src/libgit2/odb.c
git_odb_read_header	symbol	function_exported	2	src/libgit2/odb.c
git_odb_refresh	symbol	function_exported	2	src/libgit2/odb.c
git_odb_stream_finalize_write	symbol	function_exported	2	src/libgit2/odb.c
git_odb_stream_read	symbol	function_exported	2	src/libgit2/odb.c
git_odb_stream_write	symbol	function_exported	2	src/libgit2/odb.c
git_odb_write	symbol	function_exported	2	src/libgit2/odb.c
git_odb_write_pack	symbol	function_exported	2	src/libgit2/odb.c
git_packbuilder_write	symbol	function_exported	2	src/libgit2/pack-objects.c
git_pathspec_match_index	symbol	function_exported	2	src/libgit2/pathspec.c
git_pathspec_match_tree	symbol	function_exported	2	src/libgit2/pathspec.c
git_rebase_commit	symbol	function_exported	2	src/libgit2/rebase.c
git_rebase_finish	symbol	function_exported	2	src/libgit2/rebase.c
git_rebase_inmemory_index	symbol	function_exported	2	src/libgit2/rebase.c
git_rebase_next	symbol	function_exported	2	src/libgit2/rebase.c
git_rebase_operation_byindex	symbol	function_exported	2	src/libgit2/rebase.c
git_reference_iterator_glob_new	symbol	function_exported	2	src/libgit2/refs.c
git_reference_iterator_new	symbol	function_exported	2	src/libgit2/refs.c
git_reference_next	symbol	function_exported	2	src/libgit2/refs.c
git_reference_next_name	symbol	function_exported	2	src/libgit2/refs.c
git_reflog_append	symbol	function_exported	2	src/libgit2/reflog.c
git_reflog_entry_committer	symbol	function_exported	2	src/libgit2/reflog.c
git_remote_ls	symbol	function_exported	2	src/libgit2/remote.c
git_repository_fetchhead_foreach	symbol	function_exported	2	src/libgit2/fetchhead.c
git_repository_index	symbol	function_exported	2	src/libgit2/repository.c
git_repository_init_ext	symbol	function_exported	2	src/libgit2/repository.c
git_repository_init_init_options	symbol	function_exported	2	src/libgit2/repository.c
git_repository_mergehead_foreach	symbol	function_exported	2	src/libgit2/merge.c
git_repository_odb	symbol	function_exported	2	src/libgit2/repository.c
git_repository_set_index	symbol	function_exported	2	src/libgit2/repository.c
git_repository_set_odb	symbol	function_exported	2	src/libgit2/repository.c
git_repository_wrap_odb	symbol	function_exported	2	src/libgit2/repository.c
git_revparse	symbol	function_exported	2	src/libgit2/revparse.c
